area ID,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,15min,30min,60min,EIC,meaning cf. ENTSO-E,country,bidding zone,bidding zone aggregation,control area,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD
AT,AT,AT,Austria,country,TRUE,TRUE,TRUE,FALSE,TRUE,10YAT-APG------L,"Austria, APG BZ / CA / MBA",Austria,APG,,APG,APG,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BA,BA,,,country,FALSE,FALSE,FALSE,FALSE,TRUE,10YBA-JPCC-----D,"Bosnia Herzegovina, NOS BiH BZ / CA / MBA",Bosnia Herzegovina,NOS BiH,,NOS BiH,NOS BiH,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BE,BE,BE,Belgium,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YBE----------2,"Belgium, Elia BZ / CA / MBA",Belgium,Elia,,Elia,Elia,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BG,BG,BG,Bulgaria,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YCA-BULGARIA-R,"Bulgaria, ESO BZ / CA / MBA",Bulgaria,ESO,,ESO,ESO,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CH,CH,CH,Switzerland,country,FALSE,FALSE,FALSE,FALSE,TRUE,10YCH-SWISSGRIDZ,"Switzerland, Swissgrid BZ / CA / MBA",Switzerland,swissgrid,,swissgrid,swissgrid,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CS,,,,country,FALSE,FALSE,FALSE,FALSE,TRUE,,,Serbia and Montenegro,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CY,CY,CY,Cyprus,country,TRUE,TRUE,FALSE,TRUE,FALSE,10YCY-1001A0003J,"Cyprus, Cyprus TSO BZ / CA / MBA",Cyprus,Cyprus TSO,,Cyprus TSO,Cyprus TSO,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CZ,CZ,CZ,Czech Republic,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YCZ-CEPS-----N,"Czech Republic, CEPS BZ / CA/ MBA",Czech Republic,CEPS,,CEPS,CEPS,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DE,DE,DE,Germany,country,TRUE,TRUE,TRUE,FALSE,FALSE,10Y1001A1001A83F,Germany,Germany,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
DE_50hertz,,DE_50HzT,50Hertz CA,control area,FALSE,TRUE,TRUE,FALSE,FALSE,10YDE-VE-------2,"50Hertz CA, DE(50HzT) BZA",,,DE(50HzT),50Hertz,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DE_amprion,,DE_Amprion,Amprion CA,control area,FALSE,TRUE,TRUE,FALSE,FALSE,10YDE-RWENET---I,Amprion CA,,,,Amprion,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DE_tennet,,DE_TenneT_GER,TenneT GER CA,control area,FALSE,TRUE,TRUE,FALSE,FALSE,10YDE-EON------1,TenneT GER CA,,,,TenneT GER,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DE_transnetbw,,DE_TransnetBW,TransnetBW CA,control area,FALSE,TRUE,TRUE,FALSE,FALSE,10YDE-ENBW-----N,TransnetBW CA,,,,TransnetBW,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DE_AT_LU,,,DE-AT-LU,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A63L,DE-AT-LU BZ,,DE-AT-LU,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DK,DK,DK,Denmark,country,TRUE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A65H,Denmark,Denmark,,,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DK_1,,DK1,DK1  BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10YDK-1--------W,DK1 BZ / MBA,,DK1,,,DK1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
DK_2,,DK2,DK2 BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10YDK-2--------M,DK2 BZ / MBA,,DK2,,,DK2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
DK_energinet,,DK,,control area,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A796,"Denmark, Energinet CA",,,,Energinet,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
EE,EE,EE,Estonia,country,TRUE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A39I,"Estonia, Elering BZ / CA / MBA",Estonia,Elering,,Elering,Elering,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ES,ES,ES,Spain,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YES-REE------0,"Spain, REE BZ / CA / MBA",Spain,REE,,REE,REE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FI,FI,FI,Finland,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YFI-1--------U,"Finland, Fingrid BZ / CA / MBA",Finland,Fingrid,,Fingrid,Fingrid,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FR,FR,FR,France,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YFR-RTE------C,"France, RTE BZ / CA / MBA",France,RTE,,RTE,RTE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
GB_UKM,GB,GB,United Kingdom,country,FALSE,FALSE,FALSE,TRUE,FALSE,GB,,United Kingdom,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
GB_GBN,,GB,National Grid BZ,country,FALSE,FALSE,FALSE,TRUE,FALSE,10YGB----------A,National Grid BZ / CA/ MBA,Great Britain,National Grid,,National Grid,National Grid,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GB_NIR,,NIE,SONI CA,country,FALSE,FALSE,FALSE,TRUE,FALSE,10Y1001A1001A016,"Northern Ireland, SONI CA",Northern Ireland,,,SONI,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
GB_EAW,,,,country,FALSE,FALSE,FALSE,TRUE,FALSE,,,England and Wales,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
GB_SCT,,,,country,FALSE,FALSE,FALSE,TRUE,FALSE,,,Scotland,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GR,GR,GR,Greece,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YGR-HTSO-----Y,"Greece, IPTO BZ / CA/ MBA",Greece,IPTO,,IPTO,IPTO,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HR,HR,HR,Croatia,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YHR-HEP------M,"Croatia, HOPS BZ / CA / MBA",Croatia,HOPS,,HOPS,HOPS,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HU,HU,HU,Hungary,country,TRUE,TRUE,TRUE,FALSE,FALSE,10YHU-MAVIR----U,"Hungary, MAVIR CA / BZ / MBA",Hungary,MAVIR,,MAVIR,MAVIR,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IE,IE,IE,Ireland,country,TRUE,TRUE,FALSE,TRUE,FALSE,10YIE-1001A00010,"Ireland, EirGrid CA",Ireland,,,EirGrid,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IE_sem,,IE_SEM,Ireland - (SEM) BZ,bidding zone,FALSE,TRUE,FALSE,TRUE,FALSE,10Y1001A1001A59C,Ireland (SEM) BZ / MBA,,Ireland - (SEM),,,Ireland - (SEM),TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IS,IS,,,country,FALSE,FALSE,FALSE,FALSE,TRUE,IS,Iceland,Iceland,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IT,IT,IT,Italy,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YIT-GRTN-----B,"Italy, IT CA / MBA",Italy,,,Italy,Italy,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
IT_BRNN,,IT_BRNN,IT-Brindisi BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A699,IT-Brindisi BZ,,IT-Brindisi,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_CNOR,,IT_CNOR,IT-Centre-North BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A70O,IT-Centre-North BZ,,IT-Centre-North,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
