,Field Name,Description,Source,bidding zone,control area,country,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD,target
0,utc_timestamp,Start of timeperiod in Coordinated Universal Time,,,,,,,,,,,,,,,,,,,,False
1,cet_cest_timestamp,Start of timeperiod in Central European (Summer-) Time,,,,,,,,,,,,,,,,,,,,False
2,AT_load_actual_entsoe_transparency,Total load in Austria in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,AT,AT,AT,Austria,country,True,True,APG,True,True,True,True,False,True,False,False,False
3,AT_load_forecast_entsoe_transparency,Day-ahead load forecast in Austria in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,AT,AT,AT,Austria,country,True,True,APG,True,True,True,True,False,True,False,False,False
4,AT_price_day_ahead,Day-ahead spot price for Austria in EUR,own calculation based on ENTSO-E Transparency,,,AT,AT,AT,Austria,country,True,True,APG,True,True,True,True,False,True,False,False,True
5,AT_solar_generation_actual,Actual solar generation in Austria in MW,own calculation based on ENTSO-E Transparency,,,AT,AT,AT,Austria,country,True,True,APG,True,True,True,True,False,True,False,False,False
6,AT_wind_onshore_generation_actual,Actual wind_onshore generation in Austria in MW,own calculation based on ENTSO-E Transparency,,,AT,AT,AT,Austria,country,True,True,APG,True,True,True,True,False,True,False,False,False
7,BE_load_actual_entsoe_transparency,Total load in Belgium in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
8,BE_load_forecast_entsoe_transparency,Day-ahead load forecast in Belgium in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
9,BE_solar_generation_actual,Actual solar generation in Belgium in MW,ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
10,BE_wind_generation_actual,Actual wind generation in Belgium in MW,own calculation based on ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
11,BE_wind_offshore_generation_actual,Actual wind_offshore generation in Belgium in MW,ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
12,BE_wind_onshore_generation_actual,Actual wind_onshore generation in Belgium in MW,ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
13,BG_load_actual_entsoe_transparency,Total load in Bulgaria in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,BG,BG,BG,Bulgaria,country,True,True,ESO,True,True,False,False,False,True,False,False,False
14,BG_load_forecast_entsoe_transparency,Day-ahead load forecast in Bulgaria in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,BG,BG,BG,Bulgaria,country,True,True,ESO,True,True,False,False,False,True,False,False,False
15,BG_solar_generation_actual,Actual solar generation in Bulgaria in MW,ENTSO-E Transparency,,,BG,BG,BG,Bulgaria,country,True,True,ESO,True,True,False,False,False,True,False,False,False
