,Field Name,Description,Source,bidding zone,control area,country,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD,target
2,AT_load_actual_entsoe_transparency,Total load in Austria in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,AT,AT,AT,Austria,country,True,True,APG,True,True,True,True,False,True,False,False,False
5,AT_solar_generation_actual,Actual solar generation in Austria in MW,own calculation based on ENTSO-E Transparency,,,AT,AT,AT,Austria,country,True,True,APG,True,True,True,True,False,True,False,False,False
6,AT_wind_onshore_generation_actual,Actual wind_onshore generation in Austria in MW,own calculation based on ENTSO-E Transparency,,,AT,AT,AT,Austria,country,True,True,APG,True,True,True,True,False,True,False,False,False
7,BE_load_actual_entsoe_transparency,Total load in Belgium in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
9,BE_solar_generation_actual,Actual solar generation in Belgium in MW,ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
10,BE_wind_generation_actual,Actual wind generation in Belgium in MW,own calculation based on ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
12,BE_wind_onshore_generation_actual,Actual wind_onshore generation in Belgium in MW,ENTSO-E Transparency,,,BE,BE,BE,Belgium,country,True,True,Elia,True,True,False,False,False,True,False,False,False
13,BG_load_actual_entsoe_transparency,Total load in Bulgaria in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,BG,BG,BG,Bulgaria,country,True,True,ESO,True,True,False,False,False,True,False,False,False
15,BG_solar_generation_actual,Actual solar generation in Bulgaria in MW,ENTSO-E Transparency,,,BG,BG,BG,Bulgaria,country,True,True,ESO,True,True,False,False,False,True,False,False,False
16,BG_wind_onshore_generation_actual,Actual wind_onshore generation in Bulgaria in MW,ENTSO-E Transparency,,,BG,BG,BG,Bulgaria,country,True,True,ESO,True,True,False,False,False,True,False,False,False
17,CH_load_actual_entsoe_transparency,Total load in Switzerland in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,CH,CH,CH,Switzerland,country,False,False,swissgrid,True,True,False,False,False,True,False,False,False
20,CH_solar_generation_actual,Actual solar generation in Switzerland in MW,ENTSO-E Transparency,,,CH,CH,CH,Switzerland,country,False,False,swissgrid,True,True,False,False,False,True,False,False,False
22,CH_wind_onshore_generation_actual,Actual wind_onshore generation in Switzerland in MW,ENTSO-E Transparency,,,CH,CH,CH,Switzerland,country,False,False,swissgrid,True,True,False,False,False,True,False,False,False
26,CZ_load_actual_entsoe_transparency,Total load in Czech Republic in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,CZ,CZ,CZ,Czech Republic,country,True,True,CEPS,True,True,False,True,False,True,False,False,False
28,CZ_solar_generation_actual,Actual solar generation in Czech Republic in MW,ENTSO-E Transparency,,,CZ,CZ,CZ,Czech Republic,country,True,True,CEPS,True,True,False,True,False,True,False,False,False
29,CZ_wind_onshore_generation_actual,Actual wind_onshore generation in Czech Republic in MW,ENTSO-E Transparency,,,CZ,CZ,CZ,Czech Republic,country,True,True,CEPS,True,True,False,True,False,True,False,False,False
30,DE_load_actual_entsoe_transparency,Total load in Germany in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
33,DE_solar_generation_actual,Actual solar generation in Germany in MW,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
36,DE_wind_generation_actual,Actual wind generation in Germany in MW,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
39,DE_wind_offshore_generation_actual,Actual wind_offshore generation in Germany in MW,own calculation based on ENTSO-E Transparency,,,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
44,DE_50hertz_load_actual_entsoe_transparency,Total load in 50Hertz (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
47,DE_50hertz_wind_generation_actual,Actual wind generation in 50Hertz (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
48,DE_50hertz_wind_offshore_generation_actual,Actual wind_offshore generation in 50Hertz (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_50hertz,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
60,DE_amprion_wind_onshore_generation_actual,Actual wind_onshore generation in Amprion (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_amprion,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
70,DE_transnetbw_wind_onshore_generation_actual,Actual wind_onshore generation in TransnetBW (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_transnetbw,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
71,DK_load_actual_entsoe_transparency,Total load in Denmark in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
74,DK_solar_generation_actual,Actual solar generation in Denmark in MW,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
76,DK_wind_generation_actual,Actual wind generation in Denmark in MW,own calculation based on ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
78,DK_wind_offshore_generation_actual,Actual wind_offshore generation in Denmark in MW,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
83,DK_1_price_day_ahead,Day-ahead spot price for DK1 (bidding zone) in EUR,ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,True
