,AT_solar_generation_actual_s,AT_solar_generation_actual_w,BE_solar_generation_actual_s,BE_solar_generation_actual_w,BG_solar_generation_actual_s,BG_solar_generation_actual_w,CZ_solar_generation_actual_s,CZ_solar_generation_actual_w,DE_solar_generation_actual_s,DE_solar_generation_actual_w,DK_solar_generation_actual_s,DK_solar_generation_actual_w,EE_solar_generation_actual_s,EE_solar_generation_actual_w,ES_solar_generation_actual_s,ES_solar_generation_actual_w,FR_solar_generation_actual_s,FR_solar_generation_actual_w,GR_solar_generation_actual_s,GR_solar_generation_actual_w,IT_solar_generation_actual_s,IT_solar_generation_actual_w,LT_solar_generation_actual_s,LT_solar_generation_actual_w,NL_solar_generation_actual_s,NL_solar_generation_actual_w,PT_solar_generation_actual_s,PT_solar_generation_actual_w,RO_solar_generation_actual_s,RO_solar_generation_actual_w,SI_solar_generation_actual_s,SI_solar_generation_actual_w,SK_solar_generation_actual_s,SK_solar_generation_actual_w
2015-01-01,2.7745871086047655,101.12659916157506,3.1035761130329567,2350.0524036138972,2.6320262795235614,1619.649459462477,3.6148826626677915,304.5607096074003,2.7906858527800327,10301.284474513543,2.631773492020499,22.67007166032771,0.001,0.27175072669982847,1.8988165015194673,10633.42079945196,2.642281975246948,5085.705785260035,1.822747168685746,1584.8073649231728,2.075788375962585,14130.628045617772,3.6207594885435963,27.882069560989873,3.1036990582699975,783.6754104210904,1.926416482852301,763.2347700509443,0.001,250.5982774707424,3.6278072254569933,32.50695349357949,2.6407951514702446,132.77797984762103
2015-01-02,2.7637785362301934,157.7996898897227,2.929184243431634,910.5559402594247,2.6330161097459546,972.3259601291292,2.630406621390273,536.0305024400803,3.416325064077615,4798.806555437775,3.6184149140006605,216.5193419104893,0.001,0.27175072669982847,2.2839285459493306,10499.241588060862,2.665479359513668,3793.6987833349253,2.627255827783662,3470.4830503268386,2.1904606885259863,11642.949434916627,3.611771861656616,11.151383840464405,2.940568687671094,304.02786005495284,2.395145982000627,759.6410639786186,0.001,250.5982774707424,2.6603662018391687,60.99880005381193,3.055154523074372,121.49663033820019
2015-01-03,2.6278103364013656,179.04074729076797,2.81332546091321,151.766020379378,2.069778851713119,1255.1073741768787,2.625450970631225,525.2275287446753,2.6289806268460496,4456.40427661084,2.794331047455517,220.15668005578357,0.001,0.27175072669982847,1.8772292629482625,10681.93989076381,2.613259526067387,3177.681336776361,2.128421860423183,2998.2841050671677,1.8960677825067929,3607.2944822524614,5.927362433740956,14.592552717746003,2.8214571065820993,49.682984581940545,2.3959615590063796,777.5168826380401,0.001,250.5982774707424,2.668093598717092,60.83596249749873,2.78109018204983,251.61347820253783
2015-01-04,2.664582014938116,124.7429583561923,3.1372509153270833,2191.093113341849,1.850392374075859,254.46268485477594,2.792144926609849,1086.045917719268,2.684166557772727,12619.78827327034,3.6190837990145086,437.80974866381337,0.001,0.27175072669982847,1.8720652697904931,10672.240175695686,2.633456531682942,3751.8092084757154,2.0862802286524778,2239.3036453303657,2.7392460233473113,11013.607782815798,3.1051593026146307,0.001,3.138332222330006,731.3722146923318,2.3957747635822333,770.0832627680571,0.001,250.5982774707424,2.2043933711256383,129.64660076164586,2.9955267573410476,357.0389616254369
2015-01-05,2.6569182636984974,152.67012294779138,3.0758144299201566,1891.4515219981918,1.7542506322007507,1462.749718913462,2.613282962577874,279.19583449724337,3.064903015825195,15682.75648618727,2.79242923317746,102.89563804137859,0.003525968027450189,0.2718304752894096,1.8652995248210333,8997.087258155125,2.6216341870560895,4357.303072831615,1.7676979162956843,2428.1584731136063,2.771106383406538,3768.272996261463,3.7260697987466957,7.4067399738223605,3.069954684176178,631.1130505861038,2.393748377295379,697.0161710604971,1.83339023562149,723.6613481764202,2.6601847567070283,124.15383536931819,2.792670331105552,277.76217147285956
2015-01-06,2.7065695556098186,166.09797949580633,2.7938995320561015,1348.2121141230991,1.7438786641841588,1041.6641170447788,2.930743348747024,1711.6682211197776,2.6418264105176785,20031.88007143161,2.701704856609144,39.85793417067357,0.001,0.5435014533996569,1.9278099997333145,6047.402876812477,2.6496712967366465,4102.329383494677,1.7214343119210223,3094.2454219128313,2.1113677148529852,4358.879038715784,5.385722866251008,14.402854653391927,2.793273624239399,467.95044381173904,2.416536201084102,523.1020595565622,2.068461098504839,718.1550422000375,2.6291333448581002,87.868676472957,3.0368448354942577,596.8288149356782
2015-01-07,2.683614996561639,153.15290580394108,3.00970331217988,2172.0725393388275,3.615268646321117,1644.7783369561903,2.6752763884817368,579.3173893590448,3.4006787301200005,10498.948686516702,2.7895672587067804,369.3618646334204,0.001,0.5435014533996569,1.7009409263257822,5827.335573888116,2.5807415997752026,4203.897721213027,1.7192038713018696,4083.873233789096,2.9246672568849768,7270.312484950671,21.755009095624104,77865.74327233006,3.360677071368845,751.656195323174,2.417709457123424,350.4802337237517,2.07253281295626,1118.3370259517264,2.2372346931384364,82.82280751345212,2.6320075279647934,180.37803857394607
2015-01-08,2.6296951898759104,161.51244205730876,2.7277496325727935,96.15076840067383,1.7100504048812581,1399.324917325077,2.6632326749205255,339.48744858222585,2.79260601868891,5277.092044546293,2.795789285384528,77.10090531944734,0.001,0.5435014533996569,1.8836296957340826,7668.6643056075645,2.6229585806994837,4098.341410493553,1.732510492549583,3723.409244989593,1.9440718248167514,10907.845917441828,3.39864078731465,5.559286005827873,2.7692055855735354,31.57310665484654,2.4057457322671034,674.2291904820628,2.011792557709841,797.9875501477427,2.3198225681923805,67.32606636692634,2.7560942247181064,70.05696088503586
2015-01-09,2.6280565995810514,289.2046041628928,2.920992171928281,261.516094037054,1.629779828346587,737.5933099161592,1.5162389753151788,54.62375333358933,2.628644493743518,4057.2500730154534,3.6306573662139394,133.7050298154073,0.001,0.5435014533996569,1.8976110045827197,10164.670868917008,2.5784115065178055,3335.068710214259,1.7187185480156106,4100.120755175898,2.1584316367399983,8092.911852431351,5.901733655497848,11.666551268110021,2.8895203802588503,82.8822662538437,2.396178802406041,788.2236004156678,2.629961414943683,588.2983710936842,2.757025780381711,38.94908181810632,2.645664813778784,66.3954238510193
2015-01-10,2.6419007479817096,323.4783445429964,2.757559307618531,279.42801539351666,2.5978821447163254,581.0175849515547,3.5176055456333977,922.7836046003899,3.6116901658183007,14714.084810758413,3.161487150570854,69.9991045612164,0.001,0.5435014533996569,1.8938112637442135,9169.38322040793,2.6067354192390986,3342.612814655647,2.0601544652587456,3521.270969584467,2.090083524620697,8672.098124068918,5.901733655497848,11.666551268110021,2.809631005721213,91.07258398465011,2.267243075345082,729.077927031626,2.0692493872444357,647.2155459721328,2.374619954938389,122.12575105593093,2.2968381417374304,109.28274715976256
